Uniqlo;1;21.09.2020;1;
Uniqlo;2;21.09.2020;1;
Uniqlo;3;21.09.2020;1;
Uniqlo;6;21.09.2020;1;
Uniqlo;9;21.09.2020;1;
Uniqlo;12;21.09.2020;1;
Uniqlo;27;21.09.2020;1;
Uniqlo;13;21.09.2020;1;
Uniqlo;14;21.09.2020;1;
Uniqlo;15;21.09.2020;1;	 
Uniqlo;16;21.09.2020;1;	 
Uniqlo;17;21.09.2020;1;	 
Uniqlo;18;21.09.2020;1;	  
Uniqlo;19;21.09.2020;1;	 
Uniqlo;20;21.09.2020;1;	 
Uniqlo;21;21.09.2020;1;
Uniqlo;23;21.09.2020;1;
Uniqlo;24;21.09.2020;1;
Uniqlo;25;21.09.2020;1;	 
Uniqlo;26;21.09.2020;1;
Uniqlo;27;21.09.2020;1;
Uniqlo;29;21.09.2020;1;
Uniqlo;30;21.09.2020;1;	 
Uniqlo;31;21.09.2020;1;
Uniqlo;32;21.09.2020;1;
Uniqlo;33;21.09.2020;1;
Uniqlo;34;21.09.2020;1;
Uniqlo;35;21.09.2020;1;
Uniqlo;36;21.09.2020;1;
Uniqlo;38;21.09.2020;1;
Uniqlo;39;21.09.2020;1;
Uniqlo;40;21.09.2020;1;
Uniqlo;41;21.09.2020;1;
Uniqlo;42;21.09.2020;1;
Uniqlo;43;21.09.2020;1;
Uniqlo;44;21.09.2020;1;
Uniqlo;45;21.09.2020;1;
Uniqlo;47;21.09.2020;1;
Uniqlo;1;21.09.2020;0;
Uniqlo;2;21.09.2020;0;
Uniqlo;3;21.09.2020;0;
Uniqlo;6;21.09.2020;0;
Uniqlo;9;21.09.2020;0;
Uniqlo;12;21.09.2020;0;
Uniqlo;27;21.09.2020;0;
Uniqlo;13;21.09.2020;0;
Uniqlo;14;21.09.2020;0;
Uniqlo;15;21.09.2020;0;	 
Uniqlo;16;21.09.2020;0;	 
Uniqlo;17;21.09.2020;0;	 
Uniqlo;18;21.09.2020;0;	  
Uniqlo;19;21.09.2020;0;	 
Uniqlo;20;21.09.2020;0;	 
Uniqlo;21;21.09.2020;0;
Uniqlo;23;21.09.2020;0;
Uniqlo;24;21.09.2020;0;
Uniqlo;25;21.09.2020;0;	 
Uniqlo;26;21.09.2020;0;
Uniqlo;27;21.09.2020;0;
Uniqlo;29;21.09.2020;0;
Uniqlo;30;21.09.2020;0;	 
Uniqlo;31;21.09.2020;0;
Uniqlo;32;21.09.2020;0;
Uniqlo;33;21.09.2020;0;
Uniqlo;34;21.09.2020;0;
Uniqlo;35;21.09.2020;0;
Uniqlo;36;21.09.2020;0;
Uniqlo;38;21.09.2020;0;
Uniqlo;39;21.09.2020;0;
Uniqlo;40;21.09.2020;0;
Uniqlo;41;21.09.2020;0;
Uniqlo;42;21.09.2020;0;
Uniqlo;43;21.09.2020;0;
Uniqlo;44;21.09.2020;0;
Uniqlo;45;21.09.2020;0;
Uniqlo;47;21.09.2020;0;
Uniqlo;1;22.09.2020;1;
Uniqlo;2;22.09.2020;1;
Uniqlo;3;22.09.2020;1;
Uniqlo;6;22.09.2020;1;
Uniqlo;10;22.09.2020;1;
Uniqlo;9;22.09.2020;1;
Uniqlo;12;22.09.2020;1;
Uniqlo;27;22.09.2020;1;
Uniqlo;13;22.09.2020;1;
Uniqlo;14;22.09.2020;1;
Uniqlo;15;22.09.2020;1;	 
Uniqlo;16;22.09.2020;1;	 
Uniqlo;17;22.09.2020;1;	 
Uniqlo;18;22.09.2020;1;	  
Uniqlo;19;22.09.2020;1;	 
Uniqlo;20;22.09.2020;1;	 
Uniqlo;21;22.09.2020;1;
Uniqlo;23;22.09.2020;1;
